,country,time,lex
357,ago,1856,27.76
358,ago,1857,27.89
359,ago,1858,28.03
360,ago,1859,28.16
361,ago,1860,28.29
362,ago,1861,28.42
363,ago,1862,28.55
364,ago,1863,28.68
365,ago,1864,28.81
366,ago,1865,28.94
367,ago,1866,29.07
368,ago,1867,29.2
369,ago,1868,29.33
370,ago,1869,29.46
371,ago,1870,29.59
372,ago,1871,29.72
373,ago,1872,29.86
374,ago,1873,29.99
375,ago,1874,30.12
376,ago,1875,30.25
377,ago,1876,30.38
378,ago,1877,30.51
379,ago,1878,30.64
380,ago,1879,30.77
381,ago,1880,30.9
382,ago,1881,31.03
383,ago,1882,31.16
384,ago,1883,31.29
385,ago,1884,31.42
386,ago,1885,31.55
387,ago,1886,31.69
388,ago,1887,31.82
389,ago,1888,31.95
390,ago,1889,32.08
391,ago,1890,32.21
392,ago,1891,32.34
393,ago,1892,32.47
394,ago,1893,32.6
395,ago,1894,32.73
396,ago,1895,32.86
397,ago,1896,32.99
398,ago,1897,33.12
399,ago,1898,33.25
400,ago,1899,33.38
401,ago,1900,33.52
402,ago,1901,33.65
403,ago,1902,33.78
404,ago,1903,33.91
405,ago,1904,34.04
406,ago,1905,34.17
407,ago,1906,34.3
408,ago,1907,34.43
409,ago,1908,34.56
410,ago,1909,34.69
411,ago,1910,34.82
412,ago,1911,34.95
413,ago,1912,35.08
414,ago,1913,35.21
415,ago,1914,35.34
416,ago,1915,35.48
417,ago,1916,35.61
418,ago,1917,35.74
419,ago,1918,13.87
420,ago,1919,36.0
421,ago,1920,36.13
422,ago,1921,36.26
423,ago,1922,36.39
424,ago,1923,36.52
425,ago,1924,36.65
426,ago,1925,36.78
427,ago,1926,36.91
428,ago,1927,37.04
429,ago,1928,37.17
430,ago,1929,37.31
431,ago,1930,37.44
432,ago,1931,37.57
433,ago,1932,37.7
434,ago,1933,37.83
435,ago,1934,37.96
436,ago,1935,38.09
437,ago,1936,38.22
438,ago,1937,38.35
439,ago,1938,38.48
440,ago,1939,38.61
441,ago,1940,38.74
442,ago,1941,39.41
443,ago,1942,40.09
444,ago,1943,40.76
445,ago,1944,41.43
446,ago,1945,42.11
447,ago,1946,42.79
448,ago,1947,43.48
449,ago,1948,44.17
450,ago,1949,44.88
451,ago,1950,45.57
452,ago,1951,45.57
453,ago,1952,45.57
454,ago,1953,45.56
455,ago,1954,45.56
456,ago,1955,45.54
457,ago,1956,45.68
458,ago,1957,45.8
459,ago,1958,45.88
460,ago,1959,46.06
461,ago,1960,46.25
